Baby,Time,Amount (oz.),Note
Arlo,"9/20/23, 07:15",3
Arlo,"9/19/23, 23:05",2.5
Arlo,"9/19/23, 18:45",4
Arlo,"9/19/23, 15:12",5
Arlo,"9/19/23, 12:15",5
Arlo,"9/19/23, 08:45",2.75
Arlo,"9/19/23, 07:20",2.5
Arlo,"9/19/23, 01:04",4.5
Arlo,"9/18/23, 19:00",6
Arlo,"9/18/23, 15:24",4.25
Arlo,"9/18/23, 12:00",5
Arlo,"9/18/23, 09:20",5
Arlo,"9/18/23, 07:26",3
Arlo,"9/18/23, 02:14",3.5
Arlo,"9/17/23, 18:35",5.5
Arlo,"9/17/23, 16:04",4.25
Arlo,"9/17/23, 13:20",4.5
Arlo,"9/17/23, 10:57",2.5
Arlo,"9/17/23, 08:05",3
Arlo,"9/17/23, 03:57",2.5
Arlo,"9/16/23, 23:50",4.5
Arlo,"9/16/23, 18:45",6.5
Arlo,"9/16/23, 16:22",2
Arlo,"9/16/23, 13:15",4.5
Arlo,"9/16/23, 07:35",2
Arlo,"9/16/23, 02:40",4
Arlo,"9/15/23, 18:50",7
Arlo,"9/15/23, 15:35",5
Arlo,"9/15/23, 13:35",1
Arlo,"9/15/23, 11:34",3.5
Arlo,"9/15/23, 07:45",3
Arlo,"9/15/23, 00:00",3
Arlo,"9/14/23, 20:40",5
Arlo,"9/14/23, 16:25",4.5
Arlo,"9/14/23, 13:55",2.5
Arlo,"9/14/23, 10:47",5
Arlo,"9/14/23, 08:53",3.25
Arlo,"9/14/23, 07:23",3
Arlo,"9/13/23, 18:18",5.5
Arlo,"9/13/23, 15:51",3
Arlo,"9/13/23, 13:28",4.5
Arlo,"9/13/23, 10:47",5
Arlo,"9/13/23, 07:05",2
Arlo,"9/13/23, 01:55",3.5
Arlo,"9/12/23, 20:20",5
Arlo,"9/12/23, 18:24",5
Arlo,"9/12/23, 14:53",3.75
Arlo,"9/12/23, 11:56",2.75
Arlo,"9/12/23, 09:15",4.75
Arlo,"9/12/23, 00:54",4
Arlo,"9/11/23, 19:11",4.75
Arlo,"9/11/23, 17:00",3
Arlo,"9/11/23, 14:50",5
Arlo,"9/11/23, 12:07",3
Arlo,"9/11/23, 09:17",5
Arlo,"9/11/23, 07:45",1
Arlo,"9/10/23, 23:25",2.25
Arlo,"9/10/23, 19:35",4.5
Arlo,"9/10/23, 16:54",5
Arlo,"9/10/23, 13:25",4.5
Arlo,"9/10/23, 10:11",3
Arlo,"9/10/23, 07:43",2.25
Arlo,"9/9/23, 23:25",3
Arlo,"9/9/23, 20:15",5.75
Arlo,"9/9/23, 17:30",4.25
Arlo,"9/9/23, 13:29",4.75
Arlo,"9/9/23, 10:05",4
Arlo,"9/9/23, 07:34",1
Arlo,"9/8/23, 23:25",6.5
Arlo,"9/8/23, 19:40",2.5
Arlo,"9/8/23, 15:00",2.25
Arlo,"9/8/23, 11:40",4.25
Arlo,"9/8/23, 09:44",4
Arlo,"9/8/23, 07:15",2
Arlo,"9/8/23, 00:50",2
Arlo,"9/7/23, 19:40",7
Arlo,"9/7/23, 17:23",3
Arlo,"9/7/23, 15:01",3
Arlo,"9/7/23, 12:15",5
Arlo,"9/7/23, 09:38",2
Arlo,"9/7/23, 07:10",2.75
Arlo,"9/6/23, 19:20",7
Arlo,"9/6/23, 14:05",5
Arlo,"9/6/23, 11:46",1.75
Arlo,"9/6/23, 09:05",3.25
Arlo,"9/6/23, 07:15",1.75
Arlo,"9/5/23, 23:45",2.5
Arlo,"9/5/23, 20:44",6.5
Arlo,"9/5/23, 18:08",0.75
Arlo,"9/5/23, 17:18",4
Arlo,"9/5/23, 14:26",4
Arlo,"9/5/23, 11:35",3
Arlo,"9/5/23, 09:26",2
Arlo,"9/5/23, 07:45",1
Arlo,"9/4/23, 23:52",3.75
Arlo,"9/4/23, 19:50",6.5
Arlo,"9/4/23, 17:27",5
Arlo,"9/4/23, 13:48",4.5
Arlo,"9/4/23, 10:09",2.75
Arlo,"9/4/23, 00:24",2.75
Arlo,"9/3/23, 19:50",8.25
Arlo,"9/3/23, 17:18",2
Arlo,"9/3/23, 14:45",5
Arlo,"9/3/23, 09:33",2.5
Arlo,"9/3/23, 07:15",2
Arlo,"9/2/23, 22:44",4
Arlo,"9/2/23, 19:20",3.5
Arlo,"9/2/23, 16:14",5
Arlo,"9/2/23, 11:32",3.75
Arlo,"9/2/23, 08:45",1.5
Arlo,"9/2/23, 00:45",3.5
Arlo,"9/1/23, 20:20",6.5
Arlo,"9/1/23, 14:23",3.25
Arlo,"9/1/23, 11:30",3.25
Arlo,"9/1/23, 08:41",5
Arlo,"9/1/23, 06:52",1.5
Arlo,"9/1/23, 01:14",3.5
Arlo,"8/31/23, 20:35",5.5
Arlo,"8/31/23, 18:17",3.5
Arlo,"8/31/23, 14:49",2.25
Arlo,"8/31/23, 11:39",5
Arlo,"8/31/23, 09:01",3.5
Arlo,"8/31/23, 07:15",1.5
Arlo,"8/31/23, 02:19",3.5
Arlo,"8/30/23, 20:38",5.75
Arlo,"8/30/23, 17:33",5
Arlo,"8/30/23, 14:16",3
Arlo,"8/30/23, 12:00",3
Arlo,"8/30/23, 09:09",4
Arlo,"8/30/23, 07:15",2.25
Arlo,"8/29/23, 23:04",3.5
Arlo,"8/29/23, 19:10",5.5
Arlo,"8/29/23, 16:49",3
Arlo,"8/29/23, 13:19",3
Arlo,"8/29/23, 10:50",3.5
Arlo,"8/29/23, 08:24",3.5
Arlo,"8/29/23, 07:06",3
Arlo,"8/29/23, 01:26",3.5
Arlo,"8/28/23, 19:44",6.5
Arlo,"8/28/23, 17:20",4
Arlo,"8/28/23, 13:33",4
Arlo,"8/28/23, 10:52",5
Arlo,"8/28/23, 08:05",4
Arlo,"8/28/23, 06:15",2.5
Arlo,"8/27/23, 20:50",5
Arlo,"8/27/23, 19:00",4
Arlo,"8/27/23, 16:03",3.5
Arlo,"8/27/23, 12:50",3.25
Arlo,"8/27/23, 08:20",1.5
Arlo,"8/27/23, 01:16",3.5
Arlo,"8/26/23, 20:23",6.5
Arlo,"8/26/23, 17:40",4
Arlo,"8/26/23, 13:34",4.5
Arlo,"8/26/23, 10:15",3.75
Arlo,"8/26/23, 07:35",2.25
Arlo,"8/26/23, 00:14",3
Arlo,"8/25/23, 20:10",8.5
Arlo,"8/25/23, 16:52",4.25
Arlo,"8/25/23, 14:29",5
Arlo,"8/25/23, 11:08",2.75
Arlo,"8/25/23, 08:45",4.5
Arlo,"8/25/23, 07:08",2
Arlo,"8/25/23, 00:42",2
Arlo,"8/24/23, 21:09",6.25
Arlo,"8/24/23, 15:55",3
Arlo,"8/24/23, 13:57",4.5
Arlo,"8/24/23, 11:27",4.5
Arlo,"8/24/23, 09:00",4.5
Arlo,"8/24/23, 07:19",1.25
Arlo,"8/24/23, 00:14",2
Arlo,"8/23/23, 20:45",5
Arlo,"8/23/23, 15:03",3
Arlo,"8/23/23, 13:31",4.25
Arlo,"8/23/23, 11:10",2.5
Arlo,"8/23/23, 08:50",4.25
Arlo,"8/23/23, 07:19",2
Arlo,"8/22/23, 23:08",1.75
Arlo,"8/22/23, 20:50",6.5
Arlo,"8/22/23, 15:33",3.5
Arlo,"8/22/23, 12:03",4.5
Arlo,"8/22/23, 08:50",4.5
Arlo,"8/22/23, 07:19",1
Arlo,"8/22/23, 00:44",2.25
Arlo,"8/21/23, 19:45",7
Arlo,"8/21/23, 17:25",2.75
Arlo,"8/21/23, 14:14",4
Arlo,"8/21/23, 11:00",2.25
Arlo,"8/21/23, 08:22",4.25
Arlo,"8/21/23, 02:48",3.25
Arlo,"8/20/23, 20:20",7
Arlo,"8/20/23, 18:05",4.5
Arlo,"8/20/23, 15:00",3.25
Arlo,"8/20/23, 10:42",4
Arlo,"8/20/23, 08:08",2.5
Arlo,"8/19/23, 23:22",2.25
Arlo,"8/19/23, 20:05",6.5
Arlo,"8/19/23, 17:10",3
Arlo,"8/19/23, 13:35",3.25
Arlo,"8/19/23, 10:45",3.75
Arlo,"8/19/23, 08:01",3
Arlo,"8/19/23, 01:45",3.25
Arlo,"8/18/23, 20:31",6.5
Arlo,"8/18/23, 15:32",3.75
Arlo,"8/18/23, 10:28",3.5
Arlo,"8/18/23, 07:10",3.5
Arlo,"8/18/23, 01:15",3.5
Arlo,"8/17/23, 19:50",5.75
Arlo,"8/17/23, 15:35",4.5
Arlo,"8/17/23, 13:43",3.5
Arlo,"8/17/23, 10:41",1
Arlo,"8/17/23, 08:23",3
Arlo,"8/17/23, 06:22",3
Arlo,"8/17/23, 02:27",3.5
Arlo,"8/16/23, 20:13",4.5
Arlo,"8/16/23, 15:00",3
Arlo,"8/16/23, 13:00",3.75
Arlo,"8/16/23, 09:00",4.25
Arlo,"8/16/23, 01:59",3.5
Arlo,"8/15/23, 20:30",5.5
Arlo,"8/15/23, 16:00",3
Arlo,"8/15/23, 14:00",4.5
Arlo,"8/15/23, 11:00",3.5
Arlo,"8/15/23, 08:50",2.5
Arlo,"8/15/23, 06:42",2.5
Arlo,"8/15/23, 00:42",2
Arlo,"8/14/23, 20:30",4
Arlo,"8/14/23, 15:48",3.5
Arlo,"8/14/23, 13:20",3
Arlo,"8/14/23, 10:50",4.5
Arlo,"8/14/23, 08:55",3
Arlo,"8/14/23, 07:08",1
Arlo,"8/14/23, 00:24",3.5
Arlo,"8/13/23, 20:05",5
Arlo,"8/13/23, 17:37",3
Arlo,"8/13/23, 14:05",4.5
Arlo,"8/13/23, 09:25",4
Arlo,"8/13/23, 06:50",2.5
Arlo,"8/12/23, 20:00",5
Arlo,"8/12/23, 17:30",3.75
Arlo,"8/12/23, 13:28",2
Arlo,"8/12/23, 09:05",4.5
Arlo,"8/12/23, 06:23",2.5
Arlo,"8/12/23, 00:53",3.5
Arlo,"8/11/23, 19:18",3
Arlo,"8/11/23, 16:39",2.75
Arlo,"8/11/23, 13:47",2.5
Arlo,"8/11/23, 11:14",2.5
Arlo,"8/11/23, 08:53",2
Arlo,"8/11/23, 07:15",1.5
Arlo,"8/10/23, 20:45",6.25
Arlo,"8/10/23, 16:36",3
Arlo,"8/10/23, 14:00",2.5
Arlo,"8/10/23, 11:24",2.25
Arlo,"8/10/23, 09:26",2.75
Arlo,"8/10/23, 07:28",2
Arlo,"8/9/23, 22:23",1.5
Arlo,"8/9/23, 20:40",5
Arlo,"8/9/23, 14:25",3
Arlo,"8/9/23, 11:35",2.75
Arlo,"8/9/23, 09:03",1.5
Arlo,"8/9/23, 07:15",2.75
Arlo,"8/9/23, 00:17",2.5
Arlo,"8/8/23, 20:30",6.5
Arlo,"8/8/23, 16:29",4.5
Arlo,"8/8/23, 13:56",2.75
Arlo,"8/8/23, 11:14",4
Arlo,"8/8/23, 08:58",3
Arlo,"8/8/23, 07:12",2.5
Arlo,"8/8/23, 00:07",2.25,3.5
Arlo,"8/7/23, 20:20",6.25
Arlo,"8/7/23, 16:05",4
Arlo,"8/7/23, 13:34",4.5
Arlo,"8/7/23, 10:44",4
Arlo,"8/7/23, 09:02",1.5
Arlo,"8/7/23, 06:50",2.75
Arlo,"8/7/23, 01:07",3
Arlo,"8/6/23, 21:00",5.75
Arlo,"8/6/23, 18:35",3.25
Arlo,"8/6/23, 15:33",4.25
Arlo,"8/6/23, 11:40",4
Arlo,"8/6/23, 08:49",3.5
Arlo,"8/5/23, 20:45",3.25
Arlo,"8/5/23, 18:45",3
Arlo,"8/5/23, 15:55",2
Arlo,"8/5/23, 12:20",2.75
Arlo,"8/5/23, 09:21",4.5
Arlo,"8/5/23, 07:20",2.5
Arlo,"8/4/23, 23:32",2.75
Arlo,"8/4/23, 20:50",5.5
Arlo,"8/4/23, 17:55",3
Arlo,"8/4/23, 15:00",3.5
Arlo,"8/4/23, 11:55",3.75
Arlo,"8/4/23, 07:19",2.5
Arlo,"8/4/23, 00:18",2.5
Arlo,"8/3/23, 20:50",4.5
Arlo,"8/3/23, 18:26",4.5
Arlo,"8/3/23, 15:15",2.75
Arlo,"8/3/23, 13:50",2.25
Arlo,"8/3/23, 13:00",0.75
Arlo,"8/3/23, 11:30",2.5
Arlo,"8/3/23, 08:55",2
Arlo,"8/3/23, 00:54",3.5
Arlo,"8/2/23, 20:45",5
Arlo,"8/2/23, 18:40",4
Arlo,"8/2/23, 16:20",3.5
Arlo,"8/2/23, 12:10",3
Arlo,"8/2/23, 09:30",3
Arlo,"8/2/23, 06:50",2
Arlo,"8/1/23, 23:58",3.25
Arlo,"8/1/23, 20:10",5.5
Arlo,"8/1/23, 17:30",3
Arlo,"8/1/23, 14:25",4.5
Arlo,"8/1/23, 11:40",3
Arlo,"8/1/23, 08:42",3
Arlo,"8/1/23, 07:01",3
Arlo,"7/31/23, 19:10",5
Arlo,"7/31/23, 16:30",4
Arlo,"7/31/23, 13:52",1.5
Arlo,"7/31/23, 12:18",3.5
Arlo,"7/31/23, 10:25",0.75
Arlo,"7/31/23, 08:59",3
Arlo,"7/31/23, 07:30",1.25
Arlo,"7/30/23, 23:00",3.5
Arlo,"7/30/23, 19:50",4.75
Arlo,"7/30/23, 17:00",4
Arlo,"7/30/23, 12:48",4.5
Arlo,"7/30/23, 10:05",4
Arlo,"7/30/23, 07:07",2
Arlo,"7/30/23, 00:22",3
Arlo,"7/29/23, 20:00",5.75
Arlo,"7/29/23, 17:10",3.5
Arlo,"7/29/23, 14:02",4.25
Arlo,"7/29/23, 10:30",3.5
Arlo,"7/29/23, 08:24",2
Arlo,"7/28/23, 23:13",1.75
Arlo,"7/28/23, 20:50",6.5
Arlo,"7/28/23, 18:24",4
Arlo,"7/28/23, 15:03",4.5
Arlo,"7/28/23, 12:11",4.25
Arlo,"7/28/23, 09:22",4
Arlo,"7/28/23, 07:30",2.5
Arlo,"7/27/23, 23:14",3
Arlo,"7/27/23, 19:45",6
Arlo,"7/27/23, 16:50",4
Arlo,"7/27/23, 14:08",2.75
Arlo,"7/27/23, 13:03",3
Arlo,"7/27/23, 10:30",4.5
Arlo,"7/27/23, 06:56",2
Arlo,"7/26/23, 23:03",2.5
Arlo,"7/26/23, 20:45",6
Arlo,"7/26/23, 18:03",3.5
Arlo,"7/26/23, 17:07",2
Arlo,"7/26/23, 14:55",4.5
Arlo,"7/26/23, 12:15",3.5
Arlo,"7/26/23, 09:13",3.5
Arlo,"7/26/23, 07:11",1.25
Arlo,"7/26/23, 00:11",1.5
Arlo,"7/25/23, 20:50",5.25
Arlo,"7/25/23, 19:25",2.5
Arlo,"7/25/23, 17:40",1.25
Arlo,"7/25/23, 16:25",4.25
Arlo,"7/25/23, 13:20",3.5
Arlo,"7/25/23, 11:41",0.5
Arlo,"7/25/23, 11:09",3
Arlo,"7/25/23, 09:09",3.5
Arlo,"7/25/23, 07:02",2
Arlo,"7/24/23, 23:41",1.25
Arlo,"7/24/23, 20:20",5
Arlo,"7/24/23, 17:48",5
Arlo,"7/24/23, 15:05",4.75
Arlo,"7/24/23, 10:38",5.5
Arlo,"7/24/23, 07:45",1.5
Arlo,"7/23/23, 23:40",0.5
Arlo,"7/23/23, 19:50",6
Arlo,"7/23/23, 17:54",4
Arlo,"7/23/23, 14:55",3.25
Arlo,"7/23/23, 12:24",3
Arlo,"7/23/23, 09:26",4.25
Arlo,"7/23/23, 06:50",2
Arlo,"7/22/23, 23:00",1.5
Arlo,"7/22/23, 19:40",6
Arlo,"7/22/23, 17:25",4
Arlo,"7/22/23, 14:50",3.75
Arlo,"7/22/23, 10:35",3.5
Arlo,"7/22/23, 00:25",2
Arlo,"7/21/23, 20:50",6
Arlo,"7/21/23, 18:37",3.5
Arlo,"7/21/23, 15:49",3
Arlo,"7/21/23, 12:59",3.75
Arlo,"7/21/23, 10:11",3
Arlo,"7/21/23, 07:28",2
Arlo,"7/21/23, 00:24",2
Arlo,"7/20/23, 20:45",5.5
Arlo,"7/20/23, 18:50",2.5
Arlo,"7/20/23, 17:35",2.5
Arlo,"7/20/23, 15:42",3.25
Arlo,"7/20/23, 12:47",3.5
Arlo,"7/20/23, 10:03",4.25
Arlo,"7/20/23, 07:20",2.75
Arlo,"7/19/23, 22:47",1.75
Arlo,"7/19/23, 20:20",4.5
Arlo,"7/19/23, 18:28",4
Arlo,"7/19/23, 14:56",4
Arlo,"7/19/23, 11:54",4.5
Arlo,"7/19/23, 09:02",3.25
Arlo,"7/19/23, 07:08",3
Arlo,"7/18/23, 22:27",3.75
Arlo,"7/18/23, 18:55",3.5
Arlo,"7/18/23, 17:12",1.5
Arlo,"7/18/23, 16:05",2
Arlo,"7/18/23, 13:02",2.25
Arlo,"7/18/23, 09:35",2
